Reference, Value, Footprint, Datasheet, MP, Specification
"OP1","SmCh","CC_SM_mod_footprint:SmCh_LS-512-2","",LS-510-2, 
"U1","A5366","Housings_DIP:DIP-16_W7.62mm_Socket","",A5366CA-T,
"Q1","BC847","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"P1","CONN_01X03","CC_Footprint:WF3R",""
"RV1","5K","Potentiometers:Potentiometer_Trimmer_Piher_PT-6v_Horizontal",""
"R5","8K2","Resistors_SMD:R_0805_HandSoldering",""
"R1","10K","Resistors_SMD:R_0805_HandSoldering",""
"R6","560R","Resistors_SMD:R_0805_HandSoldering",""
"R2","200K","Resistors_SMD:R_0805_HandSoldering",""
"R3","1K","Resistors_SMD:R_0805_HandSoldering",""
"R4","10R","Resistors_SMD:R_0805_HandSoldering",""
"R7","220R","Resistors_SMD:R_0805_HandSoldering",""
"R9","10K","Resistors_SMD:R_0805_HandSoldering",""
"R12","10M","Resistors_SMD:R_0805_HandSoldering",""
"R8","100K","Resistors_SMD:R_0805_HandSoldering",""
"R11","100K","Resistors_SMD:R_0805_HandSoldering",""
"C4","47n","Capacitors_SMD:C_0805_HandSoldering",""
"C3","4n7","Capacitors_SMD:C_0805_HandSoldering",""
"C5","1n5","Capacitors_SMD:C_0805_HandSoldering",""
"C1","100uF","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","22uF","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
"R10","1K","Resistors_SMD:R_0805_HandSoldering",""
"JP1","Jumper_NO","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"D1","LED","CC_Footprint:LED_D3.0mm",""
